query_id,job_id,worker_id,accepted
Q001,J001,W001,1
Q001,J002,W002,0
Q001,J003,W003,1
Q001,J004,W004,0
Q001,J005,W005,1
Q002,J002,W006,1
Q002,J003,W007,0
Q002,J004,W008,1
Q002,J005,W009,0
Q002,J006,W010,1
Q003,J003,W001,0
Q003,J004,W002,1
Q003,J005,W003,0
Q003,J006,W004,1
Q003,J007,W005,0
Q004,J004,W006,1
Q004,J005,W007,0
Q004,J006,W008,1
Q004,J007,W009,0
Q004,J008,W010,1
Q005,J005,W001,1
Q005,J006,W002,0
Q005,J007,W003,1
Q005,J008,W004,0
Q005,J009,W005,1
Q006,J001,W006,0
Q006,J002,W005,1
Q006,J003,W004,0
Q006,J004,W003,1
Q006,J005,W002,0
Q007,J001,W004,1
Q007,J002,W003,0
Q007,J003,W002,1
Q007,J004,W001,0
Q007,J005,W009,1
Q008,J002,W007,1
Q008,J003,W008,0
Q008,J004,W009,1
Q008,J005,W010,0
Q008,J006,W003,1
Q009,J003,W010,0
Q009,J004,W005,1
Q009,J005,W004,0
Q009,J006,W001,1
Q009,J007,W002,0
Q010,J001,W003,1
Q010,J002,W004,0
Q010,J003,W005,1
Q010,J004,W006,0
Q010,J005,W009,1
Q011,J002,W001,0
Q011,J003,W006,1
Q011,J004,W007,0
Q011,J005,W003,1
Q011,J006,W004,0
Q012,J001,W002,1
Q012,J002,W005,0
Q012,J003,W009,1
Q012,J004,W010,0
Q012,J005,W007,1
Q013,J001,W008,0
Q013,J002,W009,1
Q013,J003,W001,0
Q013,J004,W010,1
Q013,J005,W003,0
Q014,J002,W004,1
Q014,J003,W005,0
Q014,J004,W009,1
Q014,J005,W010,0
Q014,J006,W007,1
Q015,J001,W009,0
Q015,J002,W008,1
Q015,J003,W006,0
Q015,J004,W001,1
Q015,J005,W002,0
